iter	Logloss
0	0.6822287844
1	0.6720688563
2	0.6627680113
3	0.65445144
4	0.6466591864
5	0.6396072004
6	0.6330766539
7	0.6271080487
8	0.6217607342
9	0.6170223097
10	0.6126616988
11	0.6085849682
12	0.6044965856
13	0.6007861915
14	0.5973946067
15	0.5944691066
16	0.5918859395
17	0.5894202026
18	0.5867265903
19	0.5843804579
20	0.5826509268
21	0.5800745025
22	0.5781833273
23	0.5762835531
24	0.5749391253
25	0.573252369
26	0.5718493943
27	0.5704424788
28	0.5691391581
29	0.5680534326
30	0.5670395962
31	0.5659320462
32	0.5650540752
33	0.5638491845
34	0.5620250923
35	0.561285282
36	0.5603288897
37	0.559219107
38	0.5587148923
39	0.5576318343
40	0.5571842521
41	0.5559114131
42	0.5550693306
43	0.5545248965
44	0.5536515791
45	0.5531757344
46	0.5524316247
47	0.5518716695
48	0.5511844523
49	0.5508753761
50	0.5497164524
51	0.5491065043
52	0.548759002
53	0.5484395202
54	0.54783202
55	0.5471948002
56	0.5466804532
57	0.5459833864
58	0.5453947518
59	0.5450168485
60	0.5444513475
61	0.5440655581
62	0.543556349
63	0.5427701504
64	0.5425385629
65	0.5421079543
66	0.5413212312
67	0.5404130474
68	0.53998616
69	0.5397451576
70	0.539158406
71	0.538988154
72	0.5384761832
73	0.5382825152
74	0.5374818984
75	0.5370868735
76	0.5365299221
77	0.5358295107
78	0.5356084096
79	0.5352044989
80	0.5345463154
81	0.5342344192
82	0.5339816034
83	0.5337106215
84	0.5334651449
85	0.5330823548
86	0.5326253713
87	0.5321078681
88	0.5314209155
89	0.5310737001
90	0.5307306632
91	0.5305810746
92	0.5299489075
93	0.5297216867
94	0.529343752
95	0.5285262871
96	0.5282969547
97	0.5280653851
98	0.5279537967
99	0.5275325985
100	0.5269250535
101	0.5266112833
102	0.5263765844
103	0.5262532812
104	0.52594863
105	0.5258485008
106	0.5256843147
107	0.5252332938
108	0.5251072782
109	0.5248684458
110	0.5243458541
111	0.5241375258
112	0.5238568466
113	0.5236350909
114	0.5230517734
115	0.5228852874
116	0.5227237061
117	0.5225678768
118	0.5222566845
119	0.5219239277
120	0.5215374927
121	0.521441367
122	0.521149242
123	0.521021339
124	0.5204961695
125	0.520221574
126	0.5200486456
127	0.5198220749
128	0.5196080304
129	0.5194368145
130	0.5193370529
131	0.5190598079
132	0.5185992198
133	0.5175918886
134	0.5174040937
135	0.5170865441
136	0.5166184823
137	0.5164275312
138	0.5159921614
139	0.515803954
140	0.5156683621
141	0.5153821999
142	0.5151266987
143	0.5148013527
144	0.514507793
145	0.5144098741
146	0.5139416061
147	0.5138398629
148	0.5135053935
149	0.5132194105
150	0.5128600949
151	0.5124304861
