iter	Passed	Remaining
0	179	179275
1	198	99072
2	214	71185
3	232	57801
4	252	50270
5	274	45428
6	293	41633
7	307	38187
8	324	35723
9	343	33963
10	363	32681
11	380	31357
12	396	30076
13	415	29260
14	436	28677
15	453	27909
16	469	27119
17	485	26471
18	501	25896
19	520	25503
20	542	25303
21	560	24916
22	581	24689
23	596	24267
24	618	24130
25	640	23976
26	660	23808
27	688	23895
28	720	24115
29	745	24101
30	764	23885
31	781	23635
32	799	23434
33	818	23250
34	836	23065
35	861	23058
36	879	22884
37	901	22815
38	921	22703
39	941	22584
40	962	22506
41	980	22369
42	1000	22255
43	1020	22179
44	1041	22101
45	1060	21996
46	1079	21897
47	1100	21824
48	1121	21768
49	1143	21729
50	1161	21612
51	1180	21520
52	1203	21508
53	1224	21455
54	1243	21373
55	1263	21305
56	1288	21309
57	1306	21220
58	1324	21125
59	1343	21043
60	1370	21089
61	1402	21217
62	1423	21175
63	1452	21239
64	1480	21289
65	1504	21292
66	1522	21198
67	1541	21134
68	1565	21124
69	1594	21177
70	1612	21093
71	1631	21023
72	1658	21061
73	1686	21109
74	1718	21198
75	1750	21283
76	1781	21352
77	1817	21489
78	1851	21589
79	1883	21658
80	1917	21750
81	1947	21801
82	1976	21839
83	2004	21863
84	2043	21998
85	2063	21929
86	2082	21849
87	2099	21755
88	2120	21708
89	2140	21639
90	2157	21555
91	2175	21475
92	2194	21397
93	2210	21308
94	2239	21336
95	2258	21267
96	2275	21182
97	2292	21095
98	2307	21002
99	2326	20940
100	2344	20871
101	2362	20797
102	2379	20720
103	2395	20635
104	2411	20551
105	2429	20492
106	2445	20408
107	2463	20342
108	2481	20287
109	2501	20236
110	2519	20182
111	2537	20118
112	2557	20073
113	2577	20029
114	2595	19973
115	2614	19927
116	2635	19891
117	2654	19843
118	2671	19779
119	2692	19745
120	2709	19686
121	2725	19612
122	2741	19544
123	2756	19476
124	2773	19414
125	2793	19376
126	2812	19332
127	2830	19280
128	2851	19254
129	2870	19207
130	2888	19162
131	2910	19135
132	2930	19106
133	2955	19103
134	2981	19101
135	3000	19064
136	3019	19019
137	3034	18953
138	3049	18891
139	3068	18847
140	3086	18804
141	3107	18777
142	3128	18748
143	3148	18714
144	3169	18691
145	3189	18654
146	3210	18627
147	3225	18570
148	3241	18513
149	3260	18478
150	3281	18452
151	3302	18422
152	3318	18371
153	3332	18305
154	3351	18269
155	3371	18239
156	3392	18218
157	3411	18179
158	3429	18140
159	3449	18107
160	3470	18085
161	3488	18045
162	3505	17998
163	3520	17943
164	3537	17904
165	3555	17861
166	3570	17810
167	3588	17773
168	3605	17726
169	3619	17673
170	3637	17635
171	3654	17592
172	3672	17554
173	3689	17514
174	3712	17500
175	3732	17473
176	3749	17432
177	3765	17389
178	3784	17357
179	3800	17311
180	3814	17260
181	3831	17220
182	3847	17175
183	3863	17133
184	3880	17094
185	3897	17055
186	3911	17003
187	3927	16964
188	3944	16924
189	3960	16884
190	3976	16842
191	3994	16809
192	4009	16764
193	4026	16730
194	4043	16691
195	4060	16654
196	4077	16621
197	4097	16597
198	4115	16564
199	4131	16526
200	4147	16486
201	4162	16445
202	4178	16406
203	4196	16374
204	4212	16337
205	4230	16306
206	4247	16272
207	4264	16237
208	4279	16196
209	4297	16166
210	4314	16133
211	4330	16097
212	4354	16088
213	4376	16073
214	4394	16044
215	4410	16007
216	4427	15974
217	4444	15941
218	4461	15910
219	4478	15878
220	4496	15849
221	4515	15825
222	4532	15792
223	4548	15758
224	4565	15724
225	4582	15694
226	4603	15675
227	4627	15669
228	4648	15650
229	4675	15653
230	4705	15666
231	4733	15670
232	4759	15668
233	4788	15675
234	4815	15675
235	4837	15660
236	4858	15640
237	4881	15628
238	4903	15613
239	4929	15608
240	4948	15584
241	4966	15556
242	4984	15526
243	5001	15496
244	5029	15500
245	5050	15481
246	5068	15452
247	5085	15419
248	5102	15390
249	5118	15355
250	5135	15324
251	5151	15290
252	5167	15257
253	5182	15220
254	5197	15183
255	5212	15149
256	5228	15116
257	5244	15084
258	5264	15061
259	5279	15027
260	5296	14997
261	5313	14968
262	5332	14941
263	5349	14913
264	5364	14878
265	5377	14839
266	5393	14805
267	5407	14770
268	5426	14745
269	5441	14711
270	5458	14684
271	5472	14647
272	5491	14623
273	5509	14599
274	5525	14566
275	5541	14536
276	5562	14518
277	5579	14490
278	5598	14466
279	5613	14434
280	5628	14400
281	5642	14366
282	5659	14338
283	5674	14305
284	5699	14297
285	5715	14269
286	5731	14238
287	5747	14208
288	5763	14180
289	5781	14153
290	5797	14124
291	5812	14093
292	5829	14065
293	5844	14034
294	5858	14000
295	5877	13978
296	5894	13953
297	5910	13923
298	5926	13895
299	5941	13864
300	5956	13833
301	5974	13809
302	5989	13778
303	6004	13747
304	6022	13723
305	6038	13694
306	6053	13664
307	6071	13641
308	6087	13613
309	6104	13586
310	6124	13567
311	6141	13541
312	6156	13512
313	6170	13481
314	6188	13456
315	6204	13430
316	6221	13404
317	6238	13379
318	6254	13352
319	6271	13326
320	6288	13302
321	6304	13273
322	6319	13246
323	6335	13218
324	6350	13188
325	6366	13162
326	6389	13149
327	6410	13133
328	6431	13116
329	6449	13093
330	6470	13078
331	6494	13067
332	6513	13047
333	6536	13033
334	6552	13006
335	6573	12990
336	6597	12980
337	6619	12965
338	6642	12951
339	6663	12935
340	6683	12915
341	6700	12891
342	6724	12879
343	6742	12858
344	6760	12835
345	6777	12811
346	6793	12784
347	6813	12766
348	6831	12743
349	6845	12713
350	6861	12687
351	6895	12693
352	6913	12671
353	6928	12644
354	6943	12616
355	6961	12592
356	6978	12568
357	6997	12549
358	7016	12528
359	7032	12501
360	7047	12475
361	7065	12452
362	7082	12428
363	7098	12403
364	7119	12385
365	7134	12358
366	7150	12332
367	7170	12314
368	7190	12296
369	7210	12277
370	7230	12259
371	7249	12237
372	7268	12217
373	7287	12197
374	7306	12177
375	7326	12158
376	7345	12137
377	7365	12120
378	7387	12105
379	7412	12094
380	7431	12073
381	7455	12061
382	7482	12053
383	7507	12043
384	7524	12019
385	7541	11995
386	7561	11976
387	7581	11958
388	7601	11940
389	7621	11921
390	7641	11901
391	7663	11886
392	7682	11866
393	7702	11847
394	7718	11822
395	7733	11796
396	7753	11776
397	7769	11751
398	7787	11730
399	7805	11707
400	7820	11682
401	7835	11655
402	7853	11634
403	7870	11610
404	7889	11590
405	7906	11566
406	7922	11542
407	7947	11531
408	7967	11512
409	7984	11490
410	8001	11466
411	8014	11438
412	8030	11414
413	8046	11389
414	8066	11371
415	8086	11352
416	8111	11340
417	8130	11320
418	8150	11301
419	8175	11289
420	8200	11277
421	8216	11253
422	8236	11234
423	8254	11213
424	8272	11191
425	8289	11168
426	8304	11144
427	8317	11116
428	8332	11091
429	8349	11067
430	8364	11042
431	8384	11024
432	8402	11002
433	8423	10985
434	8440	10963
435	8457	10940
436	8473	10916
437	8491	10894
438	8505	10869
439	8532	10859
440	8556	10845
441	8576	10827
442	8602	10816
443	8620	10794
444	8641	10777
445	8658	10755
446	8675	10732
447	8694	10713
448	8708	10686
449	8723	10662
450	8740	10639
451	8755	10615
452	8772	10593
453	8810	10596
454	8834	10582
455	8852	10560
456	8872	10541
457	8887	10517
458	8907	10499
459	8925	10477
460	8943	10456
461	8960	10434
462	8978	10413
463	8998	10394
464	9024	10383
465	9046	10366
466	9068	10350
467	9095	10338
468	9116	10321
469	9135	10301
470	9152	10279
471	9169	10257
472	9184	10233
473	9198	10207
474	9216	10186
475	9232	10163
476	9249	10141
477	9265	10118
478	9280	10094
479	9295	10070
480	9315	10051
481	9336	10033
482	9352	10011
483	9368	9988
484	9383	9964
485	9400	9942
486	9415	9918
487	9432	9896
488	9451	9876
489	9467	9853
490	9482	9829
491	9498	9807
492	9515	9786
493	9532	9763
494	9551	9744
495	9569	9723
496	9585	9700
497	9602	9679
498	9618	9657
499	9634	9634
500	9652	9614
501	9668	9591
502	9682	9566
503	9699	9545
504	9715	9523
505	9739	9508
506	9763	9494
507	9784	9476
508	9808	9462
509	9828	9442
510	9846	9422
511	9868	9405
512	9888	9387
513	9915	9375
514	9935	9356
515	9954	9337
516	9971	9316
517	9996	9301
518	10018	9284
519	10034	9262
520	10052	9242
521	10069	9220
522	10086	9199
523	10111	9185
524	10133	9168
525	10154	9150
526	10174	9131
527	10196	9115
528	10221	9100
529	10241	9082
530	10258	9060
531	10276	9039
532	10293	9018
533	10315	9001
534	10334	8982
535	10350	8960
536	10366	8937
537	10384	8917
538	10399	8894
539	10415	8872
540	10435	8853
541	10451	8831
542	10475	8816
543	10495	8797
544	10517	8780
545	10543	8767
546	10563	8747
547	10588	8733
548	10608	8715
549	10642	8707
550	10670	8694
551	10691	8677
552	10716	8662
553	10733	8641
554	10751	8620
555	10769	8600
556	10785	8578
557	10802	8556
558	10824	8539
559	10844	8520
560	10858	8497
561	10875	8476
562	10893	8455
563	10910	8434
564	10927	8413
565	10945	8392
566	10962	8371
567	10980	8351
568	10996	8329
569	11012	8308
570	11028	8286
571	11044	8263
572	11063	8244
573	11080	8223
574	11096	8201
575	11113	8180
576	11132	8161
577	11150	8141
578	11167	8119
579	11183	8098
580	11200	8077
581	11216	8055
582	11233	8034
583	11254	8017
584	11272	7996
585	11291	7977
586	11307	7955
587	11324	7934
588	11339	7912
589	11358	7892
590	11374	7871
591	11390	7849
592	11420	7838
593	11441	7819
594	11462	7801
595	11484	7784
596	11501	7764
597	11518	7743
598	11535	7722
599	11549	7699
600	11572	7683
601	11594	7665
602	11611	7644
603	11627	7623
604	11642	7601
605	11659	7580
606	11675	7558
607	11689	7536
608	11705	7515
609	11721	7494
610	11735	7471
611	11751	7450
612	11768	7429
613	11786	7409
614	11804	7389
615	11821	7369
616	11836	7347
617	11854	7327
618	11875	7309
619	11890	7288
620	11909	7268
621	11922	7245
622	11938	7224
623	11953	7202
624	11967	7180
625	11986	7161
626	12006	7142
627	12021	7121
628	12041	7102
629	12058	7081
630	12075	7061
631	12092	7041
632	12108	7020
633	12122	6998
634	12137	6976
635	12160	6959
636	12176	6938
637	12197	6920
638	12211	6898
639	12224	6876
640	12240	6855
641	12256	6834
642	12273	6814
643	12289	6793
644	12306	6773
645	12320	6751
646	12337	6731
647	12355	6711
648	12374	6692
649	12392	6672
650	12414	6655
651	12438	6638
652	12455	6618
653	12471	6597
654	12490	6578
655	12510	6560
656	12528	6540
657	12545	6520
658	12564	6501
659	12582	6481
660	12600	6462
661	12615	6441
